numParks,code,meanHouseholdIncome,totalPopulation,populationDensity,race.white,race.black,race.americanIndianOrAlaskanNative,race.asian,race.nativeHawaiianOrPacificIslander,race.otherRace,race.twoOrMore
1,35004,71145,12045,577.0018261,10381,1282,0,181,0,17,184
3,35005,60551,7344,230.1428613,4065,3045,43,0,13,24,154
0,35006,72128,2883,31.26972518,2789,73,9,0,0,0,12
4,35007,81551,26332,701.5033169,19080,3761,241,494,7,2035,714
1,35010,59677,20613,95.66396287,13520,6361,85,114,0,334,199
0,35013,NA,46,4275.862069,46,0,0,0,0,0,0
1,35014,61802,4963,47.60658072,2635,2287,3,0,0,0,38
2,35016,65972,17208,225.6715133,16530,69,83,172,26,13,315
0,35019,56962,2492,70.75534759,2461,0,0,0,0,0,31
8,35020,41031,25757,1428.142925,4499,19270,83,21,10,1466,408
0,35022,75398,21587,288.4765178,10916,9767,36,406,0,264,198
3,35023,65711,23523,281.3001117,15848,7211,49,26,0,52,337
0,35031,73399,7779,61.30176417,7492,25,0,35,0,81,146
0,35032,38147,44,412.5,30,11,0,0,0,0,3
0,35033,62030,2946,44.88735293,2843,20,7,0,0,7,69
2,35034,47055,6416,51.60851666,2942,3391,9,0,0,9,65
0,35035,76498,821,22.24379537,554,246,21,0,0,0,0
0,35036,22607,204,358.2629674,89,111,0,4,0,0,0
4,35040,72015,17311,196.0668711,11443,4203,0,231,0,1087,347
2,35042,66710,6078,38.75989604,5476,542,0,27,0,0,33
1,35043,102104,12153,201.1282699,10685,1012,26,159,0,123,148
2,35044,48072,7409,133.6880785,4105,2886,79,56,0,218,65
3,35045,67512,15143,124.7912453,12087,2032,25,191,0,347,461
0,35046,59072,5017,37.94694263,4897,25,7,0,0,55,33
0,35049,58474,3856,94.37883798,3750,30,0,6,0,32,38
2,35051,79339,9838,81.21672582,8035,1214,5,0,0,336,248
0,35052,NA,283,758.9041096,183,100,0,0,0,0,0
0,35053,95138,2398,54.57085662,2133,7,0,0,0,0,258
0,35054,75684,4318,156.9040058,4114,124,34,19,0,0,27
11,35055,61424,21153,303.3714884,19729,212,79,123,0,424,586
1,35057,62963,14187,99.55778372,13902,36,8,102,0,19,120
1,35058,64632,8630,144.4690008,8325,25,0,51,0,45,184
0,35060,32099,272,160.2167183,119,89,0,0,0,0,64
1,35061,55715,1130,734.7041123,57,1073,0,0,0,0,0
1,35062,75854,7904,176.9540908,7236,393,0,18,0,79,178
0,35063,62044,3629,98.73075057,3507,0,0,0,0,0,122
2,35064,44692,11048,2789.870952,636,10103,19,0,0,27,263
2,35068,68770,7967,518.0515759,5225,1543,30,374,7,450,338
0,35070,55177,296,190.9221902,296,0,0,0,0,0,0
2,35071,83660,16052,274.3933421,13716,1636,71,253,0,275,101
0,35072,49327,4410,27.40962425,2560,1786,31,14,0,0,19
5,35073,54285,2074,89.97846863,1414,646,0,0,0,0,14
0,35074,NA,99,1660.714286,99,0,0,0,0,0,0
1,35077,51937,13821,87.31065639,12774,766,76,5,0,46,154
0,35078,75813,1927,47.82029491,1413,483,0,0,0,0,31
0,35079,73204,9055,83.01061895,8775,64,26,30,0,6,154
2,35080,98315,18471,364.193001,14683,2286,28,316,11,445,702
0,35082,NA,0,0.868055556,0,0,0,0,0,0,0
0,35083,45048,3191,89.56860166,3085,3,11,0,0,25,67
0,35085,59766,8901,85.77052328,7794,516,257,0,0,147,187
0,35087,58281,2571,94.27654453,2473,13,28,0,0,57,0
0,35089,44500,1954,32.4865728,769,1185,0,0,0,0,0
1,35091,87707,3118,415.1145038,2814,175,14,16,0,0,99
3,35094,79013,15059,246.5092883,12183,2430,84,40,6,64,252
0,35096,66306,8221,99.08208028,5780,2076,0,135,0,18,212
0,35097,60092,1884,221.462055,1860,14,0,0,0,0,10
0,35098,55045,1091,45.47709608,1021,0,0,0,0,61,9
0,35111,84475,16325,251.4449516,13544,2425,97,156,0,53,50
0,35112,92676,281,325.4774482,37,244,0,0,0,0,0
0,35114,98708,8310,578.3404564,6337,1032,63,71,0,607,200
